Date,Title,Entries,MaxEntries,MaxEntriesPerUser,H2H,EntryFee,Pot,HighestScore,LastWinningIndex,LastWinningRank,LastWinningScore,Type
2016-10-28,$50K Fri NBA Layup ($50K Guaranteed),,,,,5,50000,392.2,,2065,319.9,TOURNAMENT
2016-10-29,$30K Sat NBA Shot ($30K Guaranteed All Day),11764,11764,150,,3,30000.0,344.7,2222,2210,279.4,TOURNAMENT
2016-10-29,$15K Sat NBA Slam ($15K Guaranteed All Day),578,705,20,,25,15000.0,345.7,134,135,275.7,TOURNAMENT
2016-10-29,$15K Sat NBA Swat (3 Entries Max),17647,17647,3,,1,15000.0,365.8,3365,3342,286.4,TOURNAMENT
2016-10-29,$15K Sat NBA Dribbler (Single Entry),17647,17647,1,,1,15000.0,365.1,3376,3349,286.9,TOURNAMENT
2016-10-29,$300K Sat NBA Shot ($50K to 1st),117647,117647,150,,3,300000.0,375.0,24445,24308,286.0,TOURNAMENT
2016-10-29,$15K Sat NBA Dime (Single Entry),1764,1764,1,,10,15000.0,341.9,415,414,287.0,TOURNAMENT
2016-10-29,$110K Sat NBA Slam ($12K to 1st),5176,5176,150,,25,110000.0,352.7,1021,1009,291.6,TOURNAMENT
2016-10-29,$15K Sat NBA Dunk ($15K Guaranteed),168,168,5,,100,15000.0,321.7,32,33,292.8,TOURNAMENT
2016-10-29,$100K Sat NBA Monster ($20K to 1st),372,372,11,,300,100000.0,331.3,73,74,292.8,TOURNAMENT
2016-10-29,$70K Sat NBA Baller ($70K Guaranteed),70,70,2,,1065,70000.0,317.9,13,14,292.8,LEAGUE
2016-10-29,$15K Sat NBA BIG $2 Double Up (Top 3750 Win),8620,8620,150,,2,15000.0,339.0,3797,3640,269.8,DOUBLE_UP
2016-10-29,$25K Sat NBA BIG $5 Double Up (Top 2500 Win),5747,5747,150,,5,25000.0,351.3,2502,2474,272.6,DOUBLE_UP
2016-10-29,$11K Sat NBA BIG $11 Double Up (Top 500 Win),1149,1149,34,,11,11000.0,325.8,500,497,274.0,DOUBLE_UP
2016-10-29,$15K Sat NBA BIG $25 Double Up (Top 300 Win),689,689,20,,25,15000.0,321.7,300,278,272.6,DOUBLE_UP
2016-10-30,$10K Sun NBA Swat (3 Entries Max),11764,11764,3,,1,10000.0,359.9,2864,2858,288.1,TOURNAMENT
2016-10-30,$150K Sun NBA Shot ($150K Guaranteed),58823,58823,150,,3,150000.0,362.1,10530,10476,296.1,TOURNAMENT
2016-10-30,$10K Sun NBA Layup ($10K Guaranteed),2352,2352,70,,5,10000.0,345.8,425,423,298.1,TOURNAMENT
2016-10-30,$60K Sun NBA Slam ($60K Guaranteed),2823,2823,80,,25,60000.0,350.6,579,578,296.8,TOURNAMENT
2016-10-30,$50K Sun NBA Monster ($50K Guaranteed),186,186,5,,300,50000.0,340.6,33,34,303.7,TOURNAMENT
2016-10-30,$25K Sun NBA Baller ($25K Guaranteed),25,25,1,,1065,25000.0,323.2,4,5,303.6,LEAGUE
2016-10-30,$10K Sun NBA BIG $25 Double Up (Top 200 Win),459,459,10,,25,10000.0,334.8,205,197,280.9,DOUBLE_UP
2016-10-30,$50K Sun NBA Shot (Early Only),19607,19607,150,,3,50000.0,334.8,3612,3586,272.5,TOURNAMENT
2016-10-31,$400K Mon NBA Shot ($50K to 1st),156862,156862,150,,3,400000.0,337.6,31471,31218,276.4,TOURNAMENT
2016-10-31,$60K Mon NBA Layup ($10K to 1st),14117,14117,150,,5,60000.0,332.2,2787,2757,277.3,TOURNAMENT
2016-10-31,$150K Mon NBA Slam ($25K to 1st),7058,7058,150,,25,150000.0,332.2,1467,1458,277.5,TOURNAMENT
2016-10-31,$150K Mon NBA Monster ($30K to 1st),567,567,17,,300,150000.0,325.3,109,108,279.6,TOURNAMENT
2016-10-31,$70K Mon NBA Baller ($70K Guaranteed),70,70,2,,1065,70000.0,322.8,13,14,283.0,LEAGUE
2016-10-31,$40K Mon NBA BIG $5 Double Up (Top 4000 Win),9195,9195,150,,5,40000.0,325.3,4070,3960,268.8,DOUBLE_UP
2016-11-01,$25K Tue NBA Dribbler (Single Entry),29411,29411,1,,1,25000.0,382.1,5632,5610,313.7,TOURNAMENT
2016-11-01,$25K Tue NBA Swat (3 Entries Max),29411,29411,3,,1,25000.0,380.5,5157,5137,314.2,TOURNAMENT
2016-11-01,$20K Tue NBA Block (Single Entry),11764,11764,1,,2,20000.0,388.2,2331,2328,316.1,TOURNAMENT
2016-11-01,$350K Tue NBA Shot ($50K to 1st),137254,137254,150,,3,350000.0,388.8,27716,27569,315.7,TOURNAMENT
2016-11-01,$25K Tue NBA Layup ($25K Guaranteed),5882,5882,150,,5,25000.0,378.8,1120,1116,324.1,TOURNAMENT
2016-11-01,$15K Tue NBA Dime (Single Entry),1764,1764,1,,10,15000.0,369.4,425,401,319.2,TOURNAMENT
2016-11-01,$20K Tue NBA And One (Single Entry),941,941,1,,25,20000.0,368.5,179,178,323.8,TOURNAMENT
2016-11-01,$200K Tue NBA Slam ($20K to 1st),9411,9411,150,,25,200000.0,375.7,1820,1809,322.1,TOURNAMENT
2016-11-01,$20K Tue NBA Dunk ($20K Guaranteed),225,225,6,,100,20000.0,368.8,44,44,327.6,TOURNAMENT
2016-11-01,$200K Tue NBA Monster ($30K to 1st),745,745,22,,300,200000.0,366.6,145,145,326.0,TOURNAMENT
2016-11-01,$15K Tue NBA Rainmaker (Single Entry),30,30,1,,535,15000.0,345.1,5,6,332.6,LEAGUE
2016-11-01,$125K Tue NBA Baller ($25K to 1st),134,134,4,,1000,125000.0,361.0,25,26,333.2,TOURNAMENT
2016-11-01,$30K Tue NBA BIG $2 Double Up (Top 7500 Win),17241,17241,150,,2,30000.0,369.4,7579,7490,319.1,DOUBLE_UP
2016-11-01,$40K Tue NBA BIG $5 Double Up (Top 4000 Win),9195,9195,150,,5,40000.0,373.3,4021,4000,315.5,DOUBLE_UP
2016-11-01,$27.5K Tue NBA BIG $11 Double Up (Top 1250 Win),2873,2873,85,,11,27500.0,368.8,1317,1146,319.2,DOUBLE_UP
2016-11-01,$35K Tue NBA BIG $25 Double Up (Top 700 Win),1609,1609,48,,25,35000.0,366.6,703,696,320.7,DOUBLE_UP
2016-11-02,$1 Million Wed NBA MEGA Slam ($200K to 1st),42491,47058,150,,25,1000000.0,377.8,9826,9775,272.0,TOURNAMENT
2016-11-02,$30K Wed NBA Dribbler (Single Entry),35294,35294,1,,1,30000.0,376.7,7110,7070,275.2,TOURNAMENT
2016-11-02,$25K Wed NBA Swat (3 Entries Max),29411,29411,3,,1,25000.0,370.6,5143,5123,279.9,TOURNAMENT
2016-11-02,$25K Wed NBA Block (Single Entry),14705,14705,1,,2,25000.0,362.1,2774,2767,277.7,TOURNAMENT
2016-11-02,$300K Wed NBA Shot ($30K to 1st),117647,117647,150,,3,300000.0,367.2,27029,26896,273.2,TOURNAMENT
2016-11-02,$25K Wed NBA Assist (Single Entry),5882,5882,1,,5,25000.0,355.7,1117,1112,277.9,TOURNAMENT
2016-11-02,$20K Wed NBA Dime (Single Entry),2352,2352,1,,10,20000.0,388.3,474,472,277.7,TOURNAMENT
2016-11-02,$20K Wed NBA And One (Single Entry),941,941,1,,25,20000.0,335.2,179,180,276.2,TOURNAMENT
2016-11-02,$15K Wed NBA Dunk ($15K Guaranteed),168,168,5,,100,15000.0,312.4,32,33,269.8,TOURNAMENT
2016-11-02,$15K Wed NBA Rainmaker (Single Entry),30,30,1,,535,15000.0,295.2,5,6,263.7,LEAGUE
2016-11-02,$125K Wed NBA Baller ($25K to 1st),134,134,4,,1000,125000.0,348.8,25,26,272.0,TOURNAMENT
2016-11-02,$40K Wed NBA BIG $2 Double Up (Top 10000 Win),22988,22988,150,,2,40000.0,349.2,10016,9957,251.8,DOUBLE_UP
2016-11-02,$50K Wed NBA BIG $5 Double Up (Top 5000 Win),11494,11494,150,,5,50000.0,362.1,5089,4865,250.5,DOUBLE_UP
2016-11-02,$28.6K Wed NBA BIG $11 Double Up (Top 1300 Win),3058,3058,91,,11,28600.0,340.6,1330,1291,245.5,DOUBLE_UP
2016-11-02,$40K Wed NBA BIG $25 Double Up (Top 800 Win),1839,1839,55,,25,40000.0,347.8,808,780,241.4,DOUBLE_UP
2016-11-02,$300K Wed NBA Monster ($50K to 1st),1050,1117,33,,300,300000.0,348.8,223,222,273.0,TOURNAMENT
2016-11-03,$30K Thu NBA Dribbler (Single Entry),35294,35294,1,,1,30000.0,345.4,6909,6860,281.5,TOURNAMENT
2016-11-03,$20K Thu NBA Swat (3 Entries Max),23529,23529,3,,1,20000.0,354.9,4591,4570,282.2,TOURNAMENT
2016-11-03,$15K Thu NBA Block (Single Entry),8823,8823,1,,2,15000.0,344.4,1469,1465,285.8,TOURNAMENT
2016-11-03,$350K Thu NBA Shot ($50K to 1st),137254,137254,150,,3,350000.0,352.8,27635,27525,282.5,TOURNAMENT
2016-11-03,$50K Thu NBA Layup ($50K Guaranteed),11764,11764,150,,5,50000.0,342.5,2076,2063,288.9,TOURNAMENT
2016-11-03,$15K Thu NBA Assist (Single Entry),3529,3529,1,,5,15000.0,341.0,651,650,283.3,TOURNAMENT
2016-11-03,$15K Thu NBA Dime (Single Entry),1764,1764,1,,10,15000.0,336.2,415,415,278.7,TOURNAMENT
2016-11-03,$25K Thu NBA BIG $5 Double Up (Top 2500 Win),5747,5747,150,,5,25000.0,331.7,2503,2467,267.5,DOUBLE_UP
2016-11-03,$150K Thu NBA Monster ($30K to 1st),567,567,17,,300,150000.0,336.2,109,109,283.9,TOURNAMENT
2016-11-04,$30K Fri NBA Dribbler (Single Entry),35294,35294,1,,1,30000.0,378.8,7222,6952,305.1,TOURNAMENT
2016-11-04,$25K Fri NBA Swat (3 Entries Max),29411,29411,3,,1,25000.0,378.8,5186,5143,307.2,TOURNAMENT
2016-11-04,$350K Fri NBA Shot ($50K to 1st),137254,137254,150,,3,350000.0,388.6,27726,27554,307.2,TOURNAMENT
2016-11-04,$50K Fri NBA Layup ($50K Guaranteed),11764,11764,150,,5,50000.0,393.7,2078,2068,313.3,TOURNAMENT
2016-11-04,$200K Fri NBA Slam ($20K to 1st),9411,9411,150,,25,200000.0,379.1,1829,1820,312.3,TOURNAMENT
2016-11-04,$25K Fri NBA Dunk ($25K Guaranteed),283,283,8,,100,25000.0,359.7,55,56,315.9,TOURNAMENT
2016-11-04,$250K Fri NBA Monster ($40K to 1st),934,934,28,,300,250000.0,367.9,175,175,316.4,TOURNAMENT
2016-11-04,$125K Fri NBA Baller ($25K to 1st),134,134,4,,1000,125000.0,351.3,25,26,316.4,TOURNAMENT
2016-11-04,$40K Fri NBA BIG $2 Double Up (Top 10000 Win),22988,22988,150,,2,40000.0,378.8,10050,10000,300.1,DOUBLE_UP
2016-11-04,$50K Fri NBA BIG $5 Double Up (Top 5000 Win),11494,11494,150,,5,50000.0,369.7,5005,4999,301.2,DOUBLE_UP
2016-11-04,$28.6K Fri NBA BIG $11 Double Up (Top 1300 Win),2988,2988,89,,11,28600.0,350.4,1300,1300,301.2,DOUBLE_UP
2016-11-04,$45K Fri NBA BIG $25 Double Up (Top 900 Win),2068,2068,62,,25,45000.0,366.6,901,900,302.6,DOUBLE_UP
2016-11-05,$25K Sat NBA Swat (3 Entries Max),29411,29411,3,,1,25000.0,347.4,5162,5135,270.0,TOURNAMENT
2016-11-05,$25K Sat NBA Dribbler (Single Entry),29411,29411,1,,1,25000.0,343.9,5647,5615,267.6,TOURNAMENT
2016-11-05,$300K Sat NBA Shot ($50K to 1st),117647,117647,150,,3,300000.0,342.5,24544,24278,269.0,TOURNAMENT
2016-11-05,$12K Sat NBA Block (Single Entry),7058,7058,1,,2,12000.0,334.0,1358,1349,269.3,TOURNAMENT
2016-11-05,$12K Sat NBA Assist (Single Entry),2823,2823,1,,5,12000.0,326.2,565,564,270.0,TOURNAMENT
2016-11-05,$15K Sat NBA Dime (Single Entry),1764,1764,1,,10,15000.0,320.1,414,414,267.7,TOURNAMENT
2016-11-05,$175K Sat NBA Slam ($20K to 1st),8235,8235,150,,25,175000.0,335.4,1650,1640,271.6,TOURNAMENT
2016-11-05,$12K Sat NBA And One (Single Entry),564,564,1,,25,12000.0,317.0,104,105,275.1,TOURNAMENT
2016-11-05,$12K Sat NBA Swish (Single Entry),269,269,1,,50,12000.0,319.2,29,29,283.2,TOURNAMENT
2016-11-05,$20K Sat NBA Dunk ($20K Guaranteed),225,225,6,,100,20000.0,317.0,44,45,272.3,TOURNAMENT
2016-11-05,$175K Sat NBA Monster ($30K to 1st),652,652,19,,300,175000.0,320.3,125,126,273.6,TOURNAMENT
2016-11-05,$18K Sat NBA Rainmaker (Single Entry),36,36,1,,535,18000.0,291.5,6,7,272.3,LEAGUE
2016-11-05,$100K Sat NBA Baller ($20K to 1st),100,100,3,,1065,100000.0,305.2,19,20,270.6,LEAGUE
2016-11-05,$15K Sat NBA Layup ($15K Guaranteed),3529,3529,100,,5,15000.0,327.7,652,649,272.0,TOURNAMENT
2016-11-05,$20K Sat NBA BIG $2 Double Up (Top 5000 Win),11494,11494,150,,2,20000.0,322.9,5003,4935,254.0,DOUBLE_UP
2016-11-05,$15.4K Sat NBA BIG $11 Double Up (Top 700 Win),1609,1609,48,,11,15400.0,309.9,701,690,250.5,DOUBLE_UP
2016-11-05,$20K Sat NBA BIG $25 Double Up (Top 400 Win),919,919,27,,25,20000.0,311.5,401,396,249.5,DOUBLE_UP
2016-11-05,$35K Sat NBA BIG $5 Double Up (Top 3500 Win),8045,8045,150,,5,35000.0,336.4,3547,3498,254.9,DOUBLE_UP
2016-11-06,$50K Sun NBA Shot (Early Only),19607,19607,150,,3,50000.0,335.7,3598,3584,276.8,TOURNAMENT
2016-11-06,$20K Sun NBA Swat (3 Entries Max),23529,23529,3,,1,20000.0,362.7,4692,4518,293.4,TOURNAMENT
2016-11-06,$15K Sun NBA Dribbler (Single Entry),17647,17647,1,,1,15000.0,362.7,3378,3274,295.6,TOURNAMENT
2016-11-06,$150K Sun NBA Shot ($15K to 1st),58823,58823,150,,3,150000.0,362.7,10593,10446,294.2,TOURNAMENT
2016-11-06,$9K Sun NBA Block (Single Entry),5294,5294,1,,2,9000.0,356.8,1022,998,294.2,TOURNAMENT
2016-11-06,$8K Sun NBA Dime (Single Entry),941,941,1,,10,8000.0,349.4,187,178,295.6,TOURNAMENT
2016-11-06,$60K Sun NBA Slam ($60K Guaranteed),2823,2823,80,,25,60000.0,352.7,557,555,296.2,TOURNAMENT
2016-11-06,$9K Sun NBA Dunk ($9K Guaranteed),101,101,3,,100,9000.0,340.0,19,20,305.2,TOURNAMENT
2016-11-06,$12K Sun NBA BIG $5 Double Up (Top 1200 Win),2758,2758,80,,5,12000.0,341.9,1243,1154,275.6,DOUBLE_UP
2016-11-06,$9K Sun NBA BIG $25 Double Up (Top 180 Win),413,413,12,,25,9000.0,347.1,194,164,275.6,DOUBLE_UP
2016-11-07,$25K Mon NBA Swat (3 Entries Max),29411,29411,3,,1,25000.0,357.4,5144,5128,276.0,TOURNAMENT
2016-11-07,$30K Mon NBA Dribbler (Single Entry),35294,35294,1,,1,30000.0,362.9,7148,7093,272.4,TOURNAMENT
2016-11-07,$400K Mon NBA Shot ($50K to 1st),150493,156862,150,,3,400000.0,367.0,31466,31340,275.3,TOURNAMENT
2016-11-07,$20K Mon NBA Block (Single Entry),11764,11764,1,,2,20000.0,356.1,2330,2323,275.3,TOURNAMENT
2016-11-07,$60K Mon NBA Layup ($10K to 1st),14117,14117,150,,5,60000.0,362.3,2785,2769,280.0,TOURNAMENT
2016-11-07,$225K Mon NBA Slam ($25K to 1st),10420,10588,150,,25,225000.0,362.3,2036,2027,281.6,TOURNAMENT
2016-11-07,$25K Mon NBA Dunk ($25K Guaranteed),283,283,8,,100,25000.0,354.5,55,56,283.8,TOURNAMENT
2016-11-07,$750K Mon NBA MEGA Monster ($150K to 1st),2776,2800,84,,300,750000.0,354.5,530,530,284.2,TOURNAMENT
2016-11-07,$125K Mon NBA Baller ($125K Guaranteed),117,125,3,,1065,125000.0,331.8,23,24,284.1,TOURNAMENT
2016-11-07,$30K Mon NBA BIG $2 Double Up (Top 7500 Win),17241,17241,150,,2,30000.0,357.6,7499,7499,258.8,DOUBLE_UP
2016-11-07,$45K Mon NBA BIG $5 Double Up (Top 4500 Win),10344,10344,150,,5,45000.0,357.6,4548,4429,261.3,DOUBLE_UP
2016-11-07,$22K Mon NBA BIG $11 Double Up (Top 1000 Win),2298,2298,65,,11,22000.0,324.7,1059,993,264.7,DOUBLE_UP
2016-11-07,$30K Mon NBA BIG $25 Double Up (Top 600 Win),1379,1379,40,,25,30000.0,324.7,604,596,271.0,DOUBLE_UP
2016-11-07,$1K NBA Double Up ($2),568,568,1,,2,1000.0,318.0,251,248,262.7,DOUBLE_UP
2016-11-07,$10K Mon NBA BIG $2 Double Up (Top 2500 Win),5747,5747,150,,2,10000.0,334.5,2522,2493,261.3,DOUBLE_UP
2016-11-07,$1K NBA Double Up ($2),568,568,1,,2,1000.0,318.2,249,250,263.5,DOUBLE_UP
2016-11-07,$300 NBA Triple Up ($2),170,170,1,,2,300.0,318.0,49,50,270.4,TRIPLE_UP
2016-11-07,50/50 Contest ($10 - Top 50% Win),20,20,1,,10,180.0,303.2,9,10,258.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),20,20,1,,10,180.0,285.4,9,10,258.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,303.8,50,50,260.9,FIFTY_FIFTY
2016-11-07,$200 NBA Double Up ($2),112,112,1,,2,200.0,313.6,49,49,262.6,DOUBLE_UP
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,331.8,49,50,262.9,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),20,20,1,,5,90.0,303.2,9,10,259.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,306.7,49,50,262.2,FIFTY_FIFTY
2016-11-07,$200 NBA Double Up ($2),112,112,1,,2,200.0,313.1,49,50,261.6,DOUBLE_UP
2016-11-07,50/50 Contest ($5 - Top 50% Win),20,20,1,,5,90.0,303.2,9,10,248.7,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,303.2,49,49,259.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),20,20,1,,10,180.0,319.7,9,10,260.9,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,304.1,49,50,260.0,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),20,20,1,,2,36.0,312.1,9,10,260.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),20,20,1,,5,90.0,303.2,9,10,244.9,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),20,20,1,,2,36.0,304.6,9,10,261.5,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),20,20,1,,2,36.0,304.6,9,10,253.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),20,20,1,,5,90.0,303.2,10,10,261.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,313.1,49,49,260.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,308.9,49,50,259.6,FIFTY_FIFTY
2016-11-07,$300 NBA Triple Up ($2),170,170,1,,2,300.0,318.4,50,50,272.6,TRIPLE_UP
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,303.2,49,49,260.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,315.1,49,50,261.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),20,20,1,,10,180.0,279.8,9,10,258.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),20,20,1,,2,36.0,304.6,9,10,261.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,308.1,50,49,260.9,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,331.8,49,49,261.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,318.7,49,50,262.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($1 - Top 50% Win),50,50,1,,1,45.0,307.0,24,25,258.8,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,292.1,49,50,258.7,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,310.6,49,50,262.7,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,316.3,49,49,260.1,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),20,20,1,,5,90.0,313.1,9,10,261.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($1 - Top 50% Win),50,50,1,,1,45.0,309.4,24,25,254.5,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),20,20,1,,2,36.0,304.6,9,10,270.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,292.1,49,50,251.8,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,316.3,49,50,260.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,303.2,49,50,261.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($10 - Top 50% Win),100,100,1,,10,900.0,315.1,49,50,261.6,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,310.6,49,50,258.0,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,312.1,49,50,255.8,FIFTY_FIFTY
2016-11-07,50/50 Contest ($1 - Top 50% Win),50,50,1,,1,45.0,319.8,24,25,259.7,FIFTY_FIFTY
2016-11-07,50/50 Contest ($1 - Top 50% Win),100,100,1,,1,90.0,316.3,49,50,260.3,FIFTY_FIFTY
2016-11-07,50/50 Contest ($2 - Top 50% Win),100,100,1,,2,180.0,328.3,50,50,260.9,FIFTY_FIFTY
2016-11-07,50/50 Contest ($5 - Top 50% Win),100,100,1,,5,450.0,317.4,49,50,254.7,FIFTY_FIFTY
